Card_Count,Card_Number,CustomerID,Salt,Key_Val
1,217472186648IMA,ALFKI,48IMA,A95N
2,2334963621FBXHC,ANATR,FBXHC,0NWCR
3,698130215FHWRT,ANTON,FHWRT,GJ3HX
4,854114886NSMH9,AROUT,NSMH9,KQQ45
5,54129793UBP0,BERGS,UBP0,V4ORH
6,24524409392DDHY,BLAUS,2DDHY,12VVH
7,7120355086OO22R,BLONP,OO22R,AWEZG
8,29207287114K86W,BOLID,4K86W,M7T79
9,30156146Q58IH,BONAP,Q58IH,NIAO6
10,163431679EVYST,BOTTM,EVYST,GJ1B4
11,348259866GJZ1Y,BSBEV,GJZ1Y,FWYRM
12,9061659187F7D1R,CACTU,F7D1R,FLEW1
13,5068448870G0A7S,CENTC,G0A7S,4VS0F
14,2108732262A94IW,CHOPS,A94IW,QOXCJ
15,43914853C33ZC,COMMI,C33ZC,FTHNL
16,87349263779DTME,CONSH,9DTME,UR0EP
17,356585551O49M1,DRACD,O49M1,2X5NK
18,16947120532YCI8,DUMON,2YCI8,CSLBI
19,148795852672GR3,EASTC,72GR3,Z93ED
20,3946584871QKE0K,ERNSH,QKE0K,KRVQT
21,5883343358P0O21,FAMIA,P0O21,MTUGH
22,2316756619J76WQ,FISSA,J76WQ,P2UPR
23,3299831713D0O2Z,FOLIG,D0O2Z,H3R9Q
24,9231689192E42OZ,FOLKO,E42OZ,H8DV0
25,983237721S0FR,FRANK,S0FR,U0B7T
26,8337373735XAEVV,FRANR,XAEVV,F8N7S
27,0126754474Y28PG,FRANS,Y28PG,WWG9O
28,6374279616DFPZG,FURIB,DFPZG,1JJK
29,815917513VKZUY,GALED,VKZUY,10LPI
30,3355074925BG2OU,GODOS,BG2OU,YWF42
31,736978533Y7VGE,GOURL,Y7VGE,B5HON
32,94460340NBCH4,GREAL,NBCH4,TFGQY
33,32389242044GOP9,GROSR,4GOP9,V9G52
34,4466698335DENQE,HANAR,DENQE,I3NP7
35,5590413152UL6QV,HILAA,UL6QV,WJOJC
36,6617285227WPH3P,HUNGC,WPH3P,W4NMT
37,8227767886WBO20,HUNGO,WBO20,MRNPB
38,796400976S4XYP,ISLAT,S4XYP,B4HQ
39,9155733615G3SF,KOENE,G3SF,GR3VT
40,8469598471MIBRJ,LACOR,MIBRJ,72EJ7
41,482774093X4J19,LAMAI,X4J19,VIE8
42,73563787164IZ4D,LAUGB,4IZ4D,5D47E
43,6173359847VE2TN,LAZYK,VE2TN,H7BP9
44,361698175KKT3R,LEHMS,KKT3R,7F8KX
45,7959713495NN0TP,LETSS,NN0TP,VWN7R
46,3830297Y4HR3,LILAS,Y4HR3,UPO1S
47,3355923121ZTWQN,LINOD,ZTWQN,SQ1MR
48,27772236W4ONX,LONEP,W4ONX,EW17O
49,9843428315N5L6V,MAGAA,N5L6V,KWGBV
50,256774955IYWCT,MAISD,IYWCT,PSJ06
51,0322433769QNPB6,MEREP,QNPB6,M94L
52,51100961508RUN,MORGK,08RUN,ERB21
53,622447489WU774,NORTS,WU774,PUS3W
54,8318542834HFB21,OCEAN,HFB21,Q9T2I
55,63873612465X,OLDWO,2465X,ZQI2G
56,3579579465RDDGW,OTTIK,RDDGW,U79BK
57,62998524533TJXS,PARIS,3TJXS,VOJAM
58,428316839982B4,PERIC,982B4,D7OFU
59,45573218912C25,PICCO,2C25,BSR42
60,9189054712W4NNX,PRINI,W4NNX,G68CO
61,17461681329F2TK,QUEDE,9F2TK,2C26
62,6789193403VT3T,QUEEN,3VT3T,IUCYE
63,342827761A97VG,QUICK,A97VG,GIZ10
64,682813242P31NT,RANCH,P31NT,TC1VY
65,921906021SBXG6,RATTC,SBXG6,8AIE4
66,30133447176CYEU,REGGC,6CYEU,PRDB6
67,786959053G0EOT,RICAR,G0EOT,VKWIK
68,731412659EW0Z,RICSU,EW0Z,NZQGQ
69,21060337760900,ROMEY,60900,O21OY
70,662984601P7K00,SANTG,P7K00,QEI2H
71,9709565713OZN1V,SAVEA,OZN1V,17OI7
72,848997076HD467,SEVES,HD467,9EW02
73,24335781929CMTW,SIMOB,9CMTW,T1HZ4
74,919914937IWN94,SPECD,IWN94,IYVH
75,18846151W9DRE,SPLIR,W9DRE,FMJKV
76,8712985905VJJR,SUPRD,VJJR,Y8ZXG
77,773384441J3NKP,THEBI,J3NKP,GY12W
78,9610749262DJ9F2,THECR,DJ9F2,R9ROW
79,6146778D8QNU,TOMSP,D8QNU,WNBEO
80,8519239451VXQNN,TORTU,VXQNN,38IOH
81,7873187266EJ73J,TRADH,EJ73J,5VNA8
82,5468314939JPLM0,TRAIH,JPLM0,W5S7C
83,6174922585ZV4QY,VAFFE,ZV4QY,CI9JJ
84,1899663447K2B39,"Val2 ",K2B39,QMN37
85,6553832999IBQEK,VALON,IBQEK,BKLZT
86,219238247Z36E4,VICTE,Z36E4,52MLV
87,3566902172JGRP,VINET,JGRP,ZH78B
88,548523298BTS6,WANDK,BTS6,LSVQR
89,2420495851MN4C0,WARTH,MN4C0,RFNO6
90,09624297720KHF,WELLI,20KHF,GNMT0
91,845398129PFPYE,WHITC,PFPYE,VVE45
92,93979117VN7V,WILMK,VN7V,E7GEC
93,68180768ZIBQH,WOLZA,ZIBQH,YZQFP
