-- 1. List of Managers with all their Workers:

Managers,Workers
NULL,"Andrew Fuller"
"Andrew Fuller","Laura Callahan"
"Andrew Fuller","Nancy Davolio"
"Andrew Fuller","Janet Leverling"
"Andrew Fuller","Margaret Peacock"
"Andrew Fuller","Steven Buchanan"
"Steven Buchanan","Michael Suyama"
"Steven Buchanan","Robert King"
"Steven Buchanan","Anne Dodsworth"

------------------------------------------------------------------------------------------------

-- 2. Lists Managers with number of people working under them

employeeID,Managers,Number_of_Workers
2,"Andrew Fuller",5
5,"Steven Buchanan",3

------------------------------------------------------------------------------------------------

3. product sales for 1997
SELECT * FROM `northwind`.`product sales for 1997`;

CategoryName,ProductName,ProductSales
Beverages,"Cte de Blaye",49327.20000000
"Dairy Products","Raclette Courdavault",35717.00000000
Grains/Cereals,"Gnocchi di nonna Alice",34754.80000000
Meat/Poultry,"Thringer Rostbratwurst",34461.12000000
Produce,"Manjimup Dried Apples",24708.60000000
"Dairy Products","Camembert Pierrot",21957.20000000
Confections,"Tarte au sucre",21736.50000000
Meat/Poultry,"Alice Mutton",18353.40000000
Seafood,"Carnarvon Tigers",17250.00000000
"Dairy Products",Gudbrandsdalsost,15962.40000000
Produce,"Rssle Sauerkraut",13515.60000000
Meat/Poultry,"Perth Pasties",13124.80000000
Confections,"Gumbr Gummibrchen",12048.54000000
"Dairy Products","Mozzarella di Giovanni",11995.20000000
Beverages,"Ipoh Coffee",11518.40000000
Confections,"Schoggi Schokolade",10974.00000000
Condiments,"Sirop d'rable",10539.30000000
Seafood,"Boston Crab Meat",10455.90000000
"Dairy Products",Flotemysost,10238.30000000
Condiments,"Louisiana Fiery Hot Pepper Sauce",9855.90000000
Meat/Poultry,"Pt chinois",9854.40000000
Produce,"Uncle Bob's Organic Dried Pears",9444.00000000
Seafood,Ikura,9275.20000000
"Dairy Products","Queso Manchego La Pastora",8854.00000000
Meat/Poultry,"Mishi Kobe Niku",8536.00000000
"Dairy Products","Gorgonzola Telino",8340.00000000
Beverages,Lakkalikri,8211.60000000
Confections,Pavlova,7916.25000000
Confections,"Sir Rodney's Marmalade",7776.00000000
Beverages,Chang,7600.00000000
Condiments,Vegie-spread,7417.10000000
Grains/Cereals,"Wimmers gute Semmelkndel",7408.10000000
Seafood,"Inlagd Sill",7163.00000000
Produce,Tofu,6993.60000000
Condiments,"Gula Malacca",6887.55000000
Beverages,"Steeleye Stout",6289.20000000
Seafood,"Nord-Ost Matjeshering",6280.05000000
Beverages,"Outback Lager",6240.00000000
"Dairy Products","Queso Cabrales",5955.60000000
Confections,"Sir Rodney's Scones",5766.00000000
Condiments,"Chef Anton's Cajun Seasoning",5737.60000000
Grains/Cereals,"Singaporean Hokkien Fried Mee",5726.00000000
Condiments,"Original Frankfurter grne Soe",5327.40000000
Beverages,Chai,5295.60000000
Confections,"Scottish Longbreads",5120.00000000
Beverages,"Chartreuse verte",4928.40000000
Seafood,"Jack's New England Clam Chowder",4823.50000000
Condiments,"Northwoods Cranberry Sauce",4560.00000000
Beverages,"Rhnbru Klosterbier",4457.80000000
Grains/Cereals,"Gustaf's Knckebrd",4338.60000000
Seafood,"Rd Kaviar",3720.00000000
Seafood,"Rogede sild",3667.00000000
Seafood,Spegesild,3348.00000000
Meat/Poultry,Tourtire,3318.40000000
Confections,"Zaanse koeken",3192.00000000
Confections,Maxilaku,3160.00000000
"Dairy Products","Mascarpone Fabioli",3136.00000000
Condiments,"Louisiana Hot Spiced Okra",3094.00000000
Grains/Cereals,Tunnbrd,2680.20000000
Confections,"Teatime Chocolate Biscuits",2531.10000000
Condiments,"Grandma's Boysenberry Spread",2500.00000000
Seafood,"Escargots de Bourgogne",2345.25000000
Grains/Cereals,"Ravioli Angelo",2281.50000000
Confections,"Valkoinen suklaa",2226.25000000
Beverages,"Sasquatch Ale",2100.00000000
Grains/Cereals,"Filo Mix",2086.00000000
Confections,"NuNuCa Nu-Nougat-Creme",1794.80000000
Condiments,"Aniseed Syrup",1760.00000000
Beverages,"Guaran Fantstica",1666.80000000
Condiments,"Genen Shouyu",1503.50000000
Confections,Chocolade,1440.75000000
Beverages,"Laughing Lumberjack Lager",910.00000000
Produce,"Longlife Tofu",888.00000000
"Dairy Products",Geitost,814.50000000
Seafood,Konbu,776.40000000
Seafood,"Gravad lax",676.00000000
Condiments,"Chef Anton's Gumbo Mix",405.65000000

------------------------------------------------------------------------------------------------

-- 4. List all purchases made in 1997:

CustomerID,ProductName,Amount
HUNGO,"Nord-Ost Matjeshering",372.6000
HUNGO,"Perth Pasties",524.0000
HUNGO,"Camembert Pierrot",163.2000
HUNGO,"Outback Lager",360.0000
PICCO,Gudbrandsdalsost,1440.0000
SAVEA,Chang,380.0000
SAVEA,Tofu,781.2000
SAVEA,"NuNuCa Nu-Nougat-Creme",78.4000
SAVEA,"Gumbr Gummibrchen",1743.0000
SAVEA,"Gorgonzola Telino",320.0000
HUNGC,Konbu,48.0000
HUNGC,"Tarte au sucre",394.0000
HILAA,Spegesild,268.8000
HILAA,"Perth Pasties",1834.0000
HILAA,Gudbrandsdalsost,230.4000
FRANK,Tunnbrd,288.0000
FRANK,Flotemysost,1032.0000
FRANK,"Mozzarella di Giovanni",583.8000
PRINI,"Sir Rodney's Scones",80.0000
PRINI,"Manjimup Dried Apples",763.2000
SAVEA,"Steeleye Stout",432.0000
SAVEA,"Pt chinois",2304.0000
VAFFE,"Scottish Longbreads",600.0000
VAFFE,Flotemysost,516.0000
VAFFE,Lakkalikri,504.0000
VAFFE,"Original Frankfurter grne Soe",145.6000
EASTC,"Thringer Rostbratwurst",2079.0000
EASTC,"Steeleye Stout",504.0000
EASTC,Maxilaku,480.0000
RATTC,"Nord-Ost Matjeshering",372.6000
RATTC,"Gnocchi di nonna Alice",2128.0000
RATTC,"Louisiana Fiery Hot Pepper Sauce",336.0000
RATTC,Flotemysost,1032.0000
ERNSH,Tunnbrd,432.0000
ERNSH,Vegie-spread,2281.5000
ERNSH,Pavlova,291.9000
ERNSH,Chocolade,714.0000
MAGAA,"Gumbr Gummibrchen",747.0000
MAGAA,"Singaporean Hokkien Fried Mee",448.0000
MAGAA,Maxilaku,480.0000
LINOD,"Aniseed Syrup",400.0000
QUEEN,Chai,144.0000
QUEEN,"Sir Rodney's Scones",240.0000
