Transaction_Order,CustomerID,Card_Number,Amount_Paid
10248,VINET,3566902172JGRP,440
10249,TOMSP,6146778D8QNU,1863
10250,HANAR,4466698335DENQE,1813
10251,VICTE,219238247Z36E4,671
10252,SUPRD,8712985905VJJR,3730
10253,HANAR,4466698335DENQE,1445
10254,CHOPS,2108732262A94IW,625
10255,RICSU,731412659EW0Z,2491
10256,WELLI,09624297720KHF,518
10257,HILAA,5590413152UL6QV,1120
10258,ERNSH,3946584871QKE0K,2019
10259,CENTC,5068448870G0A7S,101
10260,OTTIK,3579579465RDDGW,1746
10261,QUEDE,17461681329F2TK,448
10262,RATTC,921906021SBXG6,625
10263,ERNSH,3946584871QKE0K,2465
10264,FOLKO,9231689192E42OZ,725
10265,BLONP,7120355086OO22R,1176
10266,WARTH,2420495851MN4C0,365
10267,FRANK,983237721S0FR,4031
10268,GROSR,32389242044GOP9,1101
10269,WHITC,845398129PFPYE,676
10270,WARTH,2420495851MN4C0,1376
10271,SPLIR,18846151W9DRE,48
10272,RATTC,921906021SBXG6,1456
10273,QUICK,342827761A97VG,2142
10274,VINET,3566902172JGRP,539
10275,MAGAA,9843428315N5L6V,307
10276,TORTU,8519239451VXQNN,420
10277,MORGK,51100961508RUN,1201
10278,BERGS,54129793UBP0,1489
10279,LEHMS,361698175KKT3R,468
10280,BERGS,54129793UBP0,613
10281,ROMEY,21060337760900,87
10282,ROMEY,21060337760900,155
10283,LILAS,3830297Y4HR3,1415
10284,LEHMS,361698175KKT3R,1452
10285,QUICK,342827761A97VG,2179
10286,QUICK,342827761A97VG,3016
10287,RICAR,786959053G0EOT,924
10288,REGGC,30133447176CYEU,89
10289,BSBEV,348259866GJZ1Y,479
10290,COMMI,43914853C33ZC,2169
10291,QUEDE,17461681329F2TK,553
10292,TRADH,7873187266EJ73J,1296
10293,TORTU,8519239451VXQNN,849
10294,RATTC,921906021SBXG6,1888
10295,VINET,3566902172JGRP,122
10296,LILAS,3830297Y4HR3,1051
10297,BLONP,7120355086OO22R,1420
10298,HUNGO,8227767886WBO20,3127
10299,RICAR,786959053G0EOT,350
10300,MAGAA,9843428315N5L6V,608
10301,WANDK,548523298BTS6,755
10302,SUPRD,8712985905VJJR,2709
10303,GODOS,3355074925BG2OU,1242
10304,TORTU,8519239451VXQNN,954
10305,OLDWO,63873612465X,4157
10306,ROMEY,21060337760900,499
10307,LONEP,27772236W4ONX,424
10308,ANATR,2334963621FBXHC,89
10309,HUNGO,8227767886WBO20,1762
10310,THEBI,773384441J3NKP,336
10311,DUMON,16947120532YCI8,269
10312,WANDK,548523298BTS6,1615
10313,QUICK,342827761A97VG,182
10314,RATTC,921906021SBXG6,2327
10315,ISLAT,796400976S4XYP,517
10316,RATTC,921906021SBXG6,2835
10317,LONEP,27772236W4ONX,288
10318,ISLAT,796400976S4XYP,240
10319,TORTU,8519239451VXQNN,1191
10320,WARTH,2420495851MN4C0,516
10321,ISLAT,796400976S4XYP,144
10322,PERIC,428316839982B4,112
10323,KOENE,9155733615G3SF,164
10324,SAVEA,9709565713OZN1V,6156
10325,KOENE,9155733615G3SF,1497
10326,BOLID,29207287114K86W,982
10327,FOLKO,9231689192E42OZ,2263
10328,FURIB,6374279616DFPZG,1168
10329,SPLIR,18846151W9DRE,4819
10330,LILAS,3830297Y4HR3,1940
10331,BONAP,30156146Q58IH,89
10332,MEREP,0322433769QNPB6,2234
10333,WARTH,2420495851MN4C0,954
10334,VICTE,219238247Z36E4,145
10335,HUNGO,8227767886WBO20,2545
10336,PRINI,9189054712W4NNX,317
10337,FRANK,983237721S0FR,2467
10338,OLDWO,63873612465X,935
10339,MEREP,0322433769QNPB6,3463
10340,BONAP,30156146Q58IH,2564
10341,SIMOB,24335781929CMTW,412
10342,FRANK,983237721S0FR,2301
10343,LEHMS,361698175KKT3R,1586
10344,WHITC,845398129PFPYE,2856
10345,QUICK,342827761A97VG,2925
10346,RATTC,921906021SBXG6,1731
10347,FAMIA,5883343358P0O21,928
10348,WANDK,548523298BTS6,396
10349,SPLIR,18846151W9DRE,142
